	MAIN_TAREADOR	multisort_1	multisort_2	multisort_3	multisort_4	merge_in_sort_1	merge_1	merge_2	merge_in_sort_2	merge_in_sort_3	
THREAD 1.1.171	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.172	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.173	0.00	0.00	0.00	0.00	0.00	0.00	11382000.00	0.00	0.00	0.00	
THREAD 1.1.174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.175	0.00	0.00	0.00	0.00	0.00	0.00	11644000.00	0.00	0.00	0.00	
THREAD 1.1.176	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.177	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.178	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.179	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.180	0.00	0.00	0.00	0.00	0.00	0.00	11144000.00	0.00	0.00	0.00	
THREAD 1.1.181	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.182	0.00	0.00	0.00	0.00	0.00	0.00	11518000.00	0.00	0.00	0.00	
THREAD 1.1.183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.184	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.185	0.00	0.00	0.00	0.00	0.00	0.00	11508000.00	0.00	0.00	0.00	
THREAD 1.1.186	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.187	0.00	0.00	0.00	0.00	0.00	0.00	11382000.00	0.00	0.00	0.00	
THREAD 1.1.188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.189	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.190	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.191	0.00	0.00	0.00	0.00	0.00	0.00	11010000.00	0.00	0.00	0.00	
THREAD 1.1.192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.193	0.00	0.00	0.00	0.00	0.00	0.00	11510000.00	0.00	0.00	0.00	
THREAD 1.1.194	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.195	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.196	0.00	0.00	0.00	0.00	0.00	0.00	11134000.00	0.00	0.00	0.00	
